Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
pda_add_contact,Add new contact,Add new contact,Přidejte nový kontakt,Füge neuen Kontakt hinzu,Добавить новый контакт,Dodaj nowy kontakt,Adjon hozzá új kapcsolatot,Aggiungi nuovo contatto,Añadir nuevo contacto,Ajouter un nouveau contact,添加新联系人,新しい連絡先を追加します,Adicionar novo contato,添加新联系人
pda_add_member,Accept,Accept,Akceptovat,Akzeptieren,Принять,Zaakceptować,Elfogad,Accettare,Aceptar,Accepter,接受,受け入れる,Aceitar,接受
pda_ban_contact,Ban contact,Ban contact,Zákaz kontaktu,Verbot Kontakt,Заблокировать контакт,Zakaz kontaktu,Betiltani a kapcsolatot,Contatto di divieto,Contacto de prohibición,Bannir le contact,禁令联系,連絡先を禁止します,Proibir contato,禁令联系
pda_contact_list,Contact list:,Contact list:,Seznam kontaktů:,Kontaktliste:,Список контактов:,Lista kontaktów:,Névjegyzék:,Lista dei contatti:,Lista de contactos:,Liste des contacts :,联系人列表：,連絡先リスト：,Lista de contatos:,联系人列表：
pda_del_member,Expel,Expel,Vyloučit,Vertreiben,Изгнать,Usunąć,Kitoloncol,Espellere,Expulsar,Expulser,驱逐,追放されます,Expulsar,驱逐
pda_global_chat,Global channel,Global channel,Globální kanál,Globaler Kanal,Общий канал,Globalny kanał,Globális csatorna,Canale globale,Canal global,Canal global,全球渠道,グローバルチャネル,Canal global,全球渠道
pda_groups_page,Groups,Groups,Skupiny,Gruppen,Группировки,Grupy,Csoportok,Gruppi,Grupos,Groupes,组,グループ,Grupos,组
pda_hint1,Enter contact name,Enter contact name,Zadejte název kontaktu,Geben Sie den Kontaktnamen ein,Введите имя контакта,Wprowadź nazwę kontaktu,Írja be a kapcsolattartó nevét,Immettere il nome del contatto,Ingrese el nombre de contacto,Entrer le nom du contact,输入联系人名称,連絡先名を入力します,Digite o nome do contato,输入联系人名称
pda_hint2,Write a message to the contact...,Write a message to the contact...,Napište zprávu kontaktu...,Schreiben Sie eine Nachricht an den Kontakt...,Напишите сообщение,Napisz wiadomość do kontaktu...,Írjon üzenetet a kapcsolattartónak...,Scrivi un messaggio al contatto...,Escribe un mensaje al contacto...,Écrire un message au contact...,写信给联系人...,連絡先にメッセージを書く...,Escreva uma mensagem para o contato...,写信给联系人...
pda_item_desc,A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a military satellite.,A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a military satellite.,Malé elektronické zařízení pro zabezpečenou výměnu informací přes šifrovaný rozhlasový kanál prostřednictvím vojenského satelitu.,Ein kleines elektronisches Gerät im militärischen Stil zum sicheren Informationsaustausch über einen verschlüsselten Funkkanal durch einen Militärsatelliten.,Небольшое электронное устройство военного образца для защищенного обмена информацией по зашифрованому радио каналу через спутник.,Małe elektroniczne urządzenie wojskowe do bezpiecznej wymiany informacji nad zaszyfrowanym kanałem radiowym za pośrednictwem wojskowego satelity.,Egy kis katonai stílusú elektronikus eszköz az információk biztonságos cseréjéhez egy titkosított rádiócsatorna felett egy katonai m?holdon keresztül.,Un piccolo dispositivo elettronico in stile militare per lo scambio sicuro di informazioni su un canale radio crittografato attraverso un satellite militare.,Un pequeño dispositivo electrónico de estilo militar para el intercambio seguro de información sobre un canal de radio cifrado a través de un satélite militar.,Un petit appareil électronique de style militaire pour l'échange sécurisé d'informations via un canal radio crypté grâce à un satellite militaire.,一种小型军事式电子设备，可通过军事卫星通过加密的无线电频道进行安全交换。,軍事衛星を介した暗号化された無線チャネルを介した情報の安全な交換のための小さな軍事スタイルの電子機器。,Um pequeno dispositivo eletrônico de estilo militar para a troca segura de informações sobre um canal de rádio criptografado através de um satélite militar.,一种小型军事式电子设备，可通过军事卫星通过加密的无线电频道进行安全交换。
pda_item_name,PDA,PDA,PDA,PDA,КПК,PDA,PDA,PDA,PDA,PDA,PDA,PDA,PDA,PDA
pda_loading,Loading...,Loading...,Načítání...,Wird geladen...,Загрузка...,Ładowanie...,Betöltés...,Caricamento...,Cargando...,Chargement...,加载中...,読み込み...,Carregando...,加载中...
pda_map_page,GPS,GPS,GPS,GPS,Навигация,GPS,GPS,GPS,GPS,GPS,全球定位系统,GPS,GPS,全球定位系统
pda_message,Message,Message,Zpráva,Nachricht,Сообщение,Wiadomość,Üzenet,Messaggio,Mensaje,Message,信息,メッセージ,Mensagem,信息
pda_messages_page,Messages,Messages,Zprávy,Mitteilungen,Сообщения,Wiadomości,üzenetek,Messaggi,Mensajes,Messages,消息,メッセージ,Mensagens,消息
pda_mute,Mute,Mute,Ztlumit,Stumm,Выкл. звук,Niemy,Néma,Muto,Silenciar,Mettre en sourdine,沉默的,ミュート,Mudo,沉默的
pda_remove_contact,Remove contact,Remove contact,Odstranit kontakt,Kontakt entfernen,Удалить контакт,Usuń kontakt,Kapcsolat eltávolítása,Rimuovi il contatto,Remover contacto,Supprimer le contact,删除联系人,連絡先を削除します,Remover contato,删除联系人
pda_rename_contact,Rename contact,Rename contact,Přejmenovat kontakt,Kontakt umbenennen,Переименовать контакт,Zmień nazwę kontaktu,Átnevezze a kapcsolatot,Rinomina il contatto,Cambiar el nombre de contacto,Renommer le contact,重命名联系人,連絡先の名前を変更します,Renomear contato,重命名联系人
pda_send,Send,Send,Poslat,Schicken,Отправить,Wysłać,Küld,Inviare,Enviar,Envoyer,发送,送信,Enviar,发送
pda_sender,Sender,Sender,Odesílatel,Absender,Отпр.,Nadawca,Feladó,Mittente,Remitente,Expéditeur,发件人,送信者,Remetente,发件人
pda_unmute,Unmute,Unmute,Ignute,Bühne,Вкл. звук,Niezasowe,Visszautasítás,Snuto,Inmerso,Rétablir le son,取消静音,ミュート,Ativação de atividades,取消静音
pda_user_id,Name:,Name:,Název:,Name:,Имя:,Nazwa:,Név:,Nome:,Nombre:,Nom :,姓名：,名前：,Nome:,姓名：
str_zlv_civhatchback0,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,Volkswagen Golf II,大众高尔夫II,フォルクスワーゲンゴルフII,Volkswagen Golf II,大众高尔夫II
str_zlv_civhatchbackdoors_codriver0,Golf II Front Right Door,Golf II Front Right Door,Golf II Přední pravé dveře,Golf II vorne rechter Tür,Передняя правая дверь Golf II,Golf II prawe przednie drzwi,Golf II Elüls? jobb ajtó,Golf II Front Right Door,Puerta derecha delantera de golf II,Golf II Porte droite,高尔夫II前门,ゴルフIIフロント右ドア,Golf II Porta da frente direita,高尔夫II前门
